SUBJECTID,mSens_age
01,higMSens_youngerAgeGroup
02,lowMSens_olderAgeGroup
03,lowMSens_youngerAgeGroup
04,higMSens_youngerAgeGroup
05,higMSens_youngerAgeGroup
06,lowMSens_olderAgeGroup
07,higMSens_youngerAgeGroup
08,lowMSens_youngerAgeGroup
09,lowMSens_youngerAgeGroup
10,higMSens_youngerAgeGroup
11,higMSens_youngerAgeGroup
12,lowMSens_olderAgeGroup
13,lowMSens_youngerAgeGroup
14,lowMSens_olderAgeGroup
15,higMSens_olderAgeGroup
16,lowMSens_youngerAgeGroup
17,higMSens_olderAgeGroup
18,lowMSens_olderAgeGroup
19,higMSens_youngerAgeGroup
20,higMSens_youngerAgeGroup
21,higMSens_youngerAgeGroup
22,higMSens_olderAgeGroup
23,higMSens_youngerAgeGroup
24,higMSens_olderAgeGroup
25,lowMSens_olderAgeGroup
26,lowMSens_youngerAgeGroup
27,higMSens_olderAgeGroup
28,higMSens_olderAgeGroup
29,lowMSens_olderAgeGroup
30,lowMSens_youngerAgeGroup
31,higMSens_olderAgeGroup
32,lowMSens_youngerAgeGroup
33,higMSens_youngerAgeGroup
34,higMSens_olderAgeGroup
35,higMSens_youngerAgeGroup
36,lowMSens_youngerAgeGroup
37,higMSens_olderAgeGroup
38,higMSens_olderAgeGroup
39,lowMSens_youngerAgeGroup
40,higMSens_olderAgeGroup
41,lowMSens_olderAgeGroup
42,lowMSens_olderAgeGroup
43,lowMSens_youngerAgeGroup
44,lowMSens_olderAgeGroup
45,higMSens_olderAgeGroup
46,lowMSens_youngerAgeGroup
47,lowMSens_olderAgeGroup
48,lowMSens_olderAgeGroup
