SUBJECTID,mSens,age,emotion,ACTOR,presentNumber,meanAmpNC
01,higMSens,youngerAgeGroup,B,1,1,-43.228
01,higMSens,youngerAgeGroup,B,1,2,-4.547
01,higMSens,youngerAgeGroup,B,1,3,-80.913
01,higMSens,youngerAgeGroup,B,1,4,0.215
01,higMSens,youngerAgeGroup,B,1,5,-55.338
01,higMSens,youngerAgeGroup,B,1,6,-12.777
01,higMSens,youngerAgeGroup,B,1,7,-28.891
01,higMSens,youngerAgeGroup,B,1,8,9.395
01,higMSens,youngerAgeGroup,B,1,9,40.461
01,higMSens,youngerAgeGroup,B,1,10,-4.332
01,higMSens,youngerAgeGroup,B,2,1,-42.722
01,higMSens,youngerAgeGroup,B,2,2,-24.185
01,higMSens,youngerAgeGroup,B,2,3,-55.022
01,higMSens,youngerAgeGroup,B,2,4,-22.603
01,higMSens,youngerAgeGroup,B,2,5,-34.78
01,higMSens,youngerAgeGroup,B,2,6,-32.03
01,higMSens,youngerAgeGroup,B,2,7,-24.936
01,higMSens,youngerAgeGroup,B,2,8,-16.945
01,higMSens,youngerAgeGroup,B,2,9,-7.886
01,higMSens,youngerAgeGroup,B,2,10,-46.436
01,higMSens,youngerAgeGroup,B,3,1,-3.732
01,higMSens,youngerAgeGroup,B,3,2,-32.896
01,higMSens,youngerAgeGroup,B,3,3,20.073
01,higMSens,youngerAgeGroup,B,3,4,-28.568
01,higMSens,youngerAgeGroup,B,3,5,12.235
01,higMSens,youngerAgeGroup,B,3,6,21.149
01,higMSens,youngerAgeGroup,B,3,7,-21.254
01,higMSens,youngerAgeGroup,B,3,8,-24.22
01,higMSens,youngerAgeGroup,B,3,9,-17.362
01,higMSens,youngerAgeGroup,B,3,10,-13.82
01,higMSens,youngerAgeGroup,B,4,1,14.971
01,higMSens,youngerAgeGroup,B,4,2,3.901
01,higMSens,youngerAgeGroup,B,4,3,13.794
01,higMSens,youngerAgeGroup,B,4,4,18.844
01,higMSens,youngerAgeGroup,B,4,5,27.082
01,higMSens,youngerAgeGroup,B,4,6,-3.813
01,higMSens,youngerAgeGroup,B,4,7,-8.577
01,higMSens,youngerAgeGroup,B,4,8,8.588
01,higMSens,youngerAgeGroup,B,4,9,0.685
01,higMSens,youngerAgeGroup,B,4,10,27.762
01,higMSens,youngerAgeGroup,B,5,1,-19.62
01,higMSens,youngerAgeGroup,B,5,2,14.105
01,higMSens,youngerAgeGroup,B,5,3,7.378
01,higMSens,youngerAgeGroup,B,5,4,30.017
01,higMSens,youngerAgeGroup,B,5,5,4.598
01,higMSens,youngerAgeGroup,B,5,6,17.548
